year,university,school,degree,Key
2013,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy and Business,1
2013,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy (3-yr direct Honours Programme),2
2013,Nanyang Technological University,College of Business (Nanyang Business School),Business (3-yr direct Honours Programme),3
2013,Nanyang Technological University,College of Business (Nanyang Business School),Business and Computing,4
2013,Nanyang Technological University,College of Engineering,Aerospace Engineering,5
2013,Nanyang Technological University,College of Engineering,Bioengineering,6
2013,Nanyang Technological University,College of Engineering,Chemical and Biomolecular Engineering,7
2013,Nanyang Technological University,College of Engineering,Computer Engineering,8
2013,Nanyang Technological University,College of Engineering,Civil Engineering,9
2013,Nanyang Technological University,College of Engineering,Computer Science,10
2013,Nanyang Technological University,College of Engineering,Electrical and Electronic Engineering,11
2013,Nanyang Technological University,College of Engineering,Environmental Engineering,12
2013,Nanyang Technological University,College of Engineering,Information Engineering and Media,13
2013,Nanyang Technological University,College of Engineering,Materials Engineering,14
2013,Nanyang Technological University,College of Engineering,Mechanical Engineering,15
2013,Nanyang Technological University,College of Engineering,Maritime Studies,16
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences","Art, Design & Media",17
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Chinese,18
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Communication Studies,19
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Economics,20
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",English,21
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Linguistics and Multilingual Studies,22
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Psychology,23
2013,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Sociology,24
2013,Nanyang Technological University,College of Sciences,Biomedical Sciences **,25
2013,Nanyang Technological University,College of Sciences,Biomedical Sciences (Traditional Chinese Medicine) #,26
2013,Nanyang Technological University,College of Sciences,Biological Sciences,27
2013,Nanyang Technological University,College of Sciences,Chemistry & Biological Chemistry,28
2013,Nanyang Technological University,College of Sciences,Mathematics & Economics **,29
2013,Nanyang Technological University,College of Sciences,Mathematical Science,30
2013,Nanyang Technological University,College of Sciences,Physics / Applied Physics,31
2013,Nanyang Technological University,College of Sciences,Sports Science and Management,32
2013,Nanyang Technological University,National Institute of Education (NIE),Science (with Education),33
2013,Nanyang Technological University,National Institute of Education (NIE),Arts (with Education),34
2013,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts,35
2013,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts (Hons),36
2013,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Social Sciences,37
2013,National University of Singapore,NUS Business School,Bachelor of Business Administration,38
2013,National University of Singapore,NUS Business School,Bachelor of Business Administration (Hons),39
2013,National University of Singapore,NUS Business School,Bachelor of Business Administration (Accountancy),40
2013,National University of Singapore,NUS Business School,Bachelor of Business Administration (Accountancy) (Hons),41
2013,National University of Singapore,School of Computing,Bachelor of Computing (Communications and Media),42
2013,National University of Singapore,School of Computing,Bachelor of Computing (Computational Biology) **,43
2013,National University of Singapore,School of Computing,Bachelor of Computing (Computer Engineering) **,44
2013,National University of Singapore,School of Computing,Bachelor of Computing (Computer Science),45
2013,National University of Singapore,School of Computing,Bachelor of Computing (Electronic Commerce),46
2014,Nanyang Technological University,College of Engineering,Aerospace Engineering,47
2013,National University of Singapore,School of Computing,Bachelor of Computing (Information Systems),48
2013,National University of Singapore,Faculty of Dentistry,Bachelor of Dental Surgery,49
2013,National University of Singapore,School of Design & Environment,Bachelor of Arts (Architecture) ** #,50
2013,National University of Singapore,School of Design & Environment,Bachelor of Arts (Industrial Design),51
2013,National University of Singapore,School of Design & Environment,Bachelor of Science (Project and Facilities Management),52
2013,National University of Singapore,School of Design & Environment,Bachelor of Science (Real Estate),53
2013,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Bioengineering),54
2013,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Chemical Engineering),55
2013,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Civil Engineering),56
2013,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Computer Engineering),57
2013,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Electrical Engineering),58
2013,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Engineering Science),59
2013,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Environmental Engineering),60
2013,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Industrial and Systems Engineering),61
2013,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Materials Science and Engineering),62
2013,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Mechanical Engineering),63
2013,National University of Singapore,Faculty of Law,Bachelor of Laws (LLB) (Hons) #,64
2013,National University of Singapore,YLL School of Medicine,Bachelor of Medicine and Bachelor of Surgery (MBBS) #,65
2013,National University of Singapore,YLL School of Medicine,Bachelor of Science (Nursing),66
2013,National University of Singapore,YLL School of Medicine,Bachelor of Science (Nursing) (Hons),67
2013,National University of Singapore,Yong Siew Toh Conservatory of Music,Bachelor of Music **,68
2013,National University of Singapore,Faculty of Science,Bachelor of Applied Science **,69
2013,National University of Singapore,Faculty of Science,Bachelor of Applied Science (Hons),70
2013,National University of Singapore,Faculty of Science,Bachelor of Science,71
2013,National University of Singapore,Faculty of Science,Bachelor of Science (Hons),72
2013,National University of Singapore,Faculty of Science,Bachelor of Science (Computational Biology) **,73
2013,National University of Singapore,Faculty of Science,Bachelor of Science (Pharmacy) (Hons) #,74
2013,Singapore Management University,School of Accountancy (4-year programme) *,Accountancy (4-years programme),75
2013,Singapore Management University,School of Accountancy (4-year programme) *,Accountancy (4-years programme) Cum Laude and above,76
2013,Singapore Management University,School of Business (4-year programme) *,Business Management (4-years programme),77
2013,Singapore Management University,School of Business (4-year programme) *,Business Management (4-years programme) Cum Laude and above,78
2013,Singapore Management University,School of Economics (4-year programme) *,Economics (4-years programme),79
2013,Singapore Management University,School of Economics (4-year programme) *,Economics (4-years programme) Cum Laude and above,80
2013,Singapore Management University,School of Information Systems (4-year programme) *,Information Systems Management (4-years programme),81
2013,Singapore Management University,School of Information Systems (4-year programme) *,Information Systems Management (4-years programme) Cum Laude and above,82
2013,Singapore Management University,School of Social Sciences (4-year programme) *,Social Sciences (4-years programme),83
2013,Singapore Management University,School of Social Sciences (4-year programme) *,Social Sciences (4-years programme) Cum Laude and above,84
2013,Singapore Management University,School of Law (4-year programme) *,Law (4-years programme) #,85
2013,Singapore Management University,School of Law (4-year programme) *,Law (4-years programme) Cum Laude and above #,86
2014,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy and Business,87
2014,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy (3-yr direct Honours Programme),88
2014,Nanyang Technological University,College of Business (Nanyang Business School),Business (3-yr direct Honours Programme),89
2014,Nanyang Technological University,College of Business (Nanyang Business School),Business and Computing,90
2014,Nanyang Technological University,College of Engineering,Bioengineering,91
2014,Nanyang Technological University,College of Engineering,Chemical and Biomolecular Engineering,92
2014,Nanyang Technological University,College of Engineering,Computer Engineering,93
2014,Nanyang Technological University,College of Engineering,Civil Engineering,94
2014,Nanyang Technological University,College of Engineering,Computer Science,95
2014,Nanyang Technological University,College of Engineering,Electrical and Electronic Engineering,96
2014,Nanyang Technological University,College of Engineering,Environmental Engineering,97
2014,Nanyang Technological University,College of Engineering,Information Engineering and Media,98
2014,Nanyang Technological University,College of Engineering,Materials Engineering,99
2014,Nanyang Technological University,College of Engineering,Mechanical Engineering,100
2014,Nanyang Technological University,College of Engineering,Maritime Studies,101
2014,Nanyang Technological University,"College of Humanities, Arts & Social Sciences","Art, Design & Media",102
2014,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Chinese,103
2014,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Communication Studies,104
2014,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Economics,105
2014,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",English,106
2014,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Linguistics and Multilingual Studies,107
2014,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Psychology,108
2014,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Sociology,109
2014,Nanyang Technological University,College of Sciences,Biomedical Science **,110
2014,Nanyang Technological University,College of Sciences,Biomedical Science (Traditional Chinese Medicine) #,111
2014,Nanyang Technological University,College of Sciences,Biological Sciences,112
2014,Nanyang Technological University,College of Sciences,Chemistry & Biological Chemistry,113
2014,Nanyang Technological University,College of Sciences,Mathematics & Economics,114
2014,Nanyang Technological University,College of Sciences,Mathematical Science,115
2014,Nanyang Technological University,College of Sciences,Physics / Applied Physics,116
2014,Nanyang Technological University,College of Sciences,Sports Science and Management,117
2014,Nanyang Technological University,National Institute of Education (NIE),Science (with Education),118
2014,Nanyang Technological University,National Institute of Education (NIE),Arts (with Education),119
2014,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts,120
2014,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts (Hons),121
2014,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Social Sciences,122
2014,National University of Singapore,NUS Business School,Bachelor of Business Administration,123
2014,National University of Singapore,NUS Business School,Bachelor of Business Administration (Hons),124
2014,National University of Singapore,NUS Business School,Bachelor of Business Administration (Accountancy),125
2014,National University of Singapore,NUS Business School,Bachelor of Business Administration (Accountancy) (Hons),126
2014,National University of Singapore,School of Computing,Bachelor of Computing (Communications and Media),127
2014,National University of Singapore,School of Computing,Bachelor of Computing (Computational Biology) **,128
2014,National University of Singapore,School of Computing,Bachelor of Computing (Computer Engineering) **,129
2014,National University of Singapore,School of Computing,Bachelor of Computing (Computer Science),130
2014,National University of Singapore,School of Computing,Bachelor of Computing (Electronic Commerce),131
2014,National University of Singapore,School of Computing,Bachelor of Computing (Information Systems),132
2014,National University of Singapore,Faculty of Dentistry,Bachelor of Dental Surgery,133
2014,National University of Singapore,School of Design & Environment,Bachelor of Arts (Architecture) #,134
2014,National University of Singapore,School of Design & Environment,Bachelor of Arts (Industrial Design),135
2014,National University of Singapore,School of Design & Environment,Bachelor of Science (Project and Facilities Management),136
2014,National University of Singapore,School of Design & Environment,Bachelor of Science (Real Estate),137
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Biomedical Engineering) ^^,138
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Chemical Engineering),139
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Civil Engineering),140
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Computer Engineering),141
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Electrical Engineering),142
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Engineering Science),143
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Environmental Engineering),144
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Industrial and Systems Engineering),145
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Materials Science and Engineering),146
2014,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Mechanical Engineering),147
2014,National University of Singapore,Faculty of Law,Bachelor of Laws (LLB) (Hons) #,148
2014,National University of Singapore,YLL School of Medicine,Bachelor of Medicine and Bachelor of Surgery #,149
2014,National University of Singapore,YLL School of Medicine,Bachelor of Science (Nursing),150
2014,National University of Singapore,YLL School of Medicine,Bachelor of Science (Nursing) (Hons),151
2014,National University of Singapore,Yong Siew Toh Conservatory of Music,Bachelor of Music **,152
2014,National University of Singapore,Faculty of Science,Bachelor of Applied Science **,153
2014,National University of Singapore,Faculty of Science,Bachelor of Applied Science (Hons),154
2014,National University of Singapore,Faculty of Science,Bachelor of Science,155
2014,National University of Singapore,Faculty of Science,Bachelor of Science (Hons),156
2014,National University of Singapore,Faculty of Science,Bachelor of Science (Computational Biology) **,157
2014,National University of Singapore,Faculty of Science,Bachelor of Science (Pharmacy) (Hons) #,158
2014,Singapore Management University,School of Accountancy (4-year programme) *,Accountancy (4-year programme),159
2014,Singapore Management University,School of Accountancy (4-year programme) *,Accountancy (4-year programme) Cum Laude and above,160
2014,Singapore Management University,School of Business (4-year programme) *,Business Management (4-year programme),161
2014,Singapore Management University,School of Business (4-year programme) *,Business Management (4-year programme) Cum Laude and above,162
2014,Singapore Management University,School of Economics (4-year programme) *,Economics (4-year programme),163
2014,Singapore Management University,School of Economics (4-year programme) *,Economics (4-year programme) Cum Laude and above,164
2014,Singapore Management University,School of Information Systems (4-year programme) *,Information Systems Management (4-year programme),165
2014,Singapore Management University,School of Information Systems (4-year programme) *,Information Systems Management (4-year programme) Cum Laude and above,166
2014,Singapore Management University,School of Social Sciences (4-year programme) *,Social Sciences (4-year programme),167
2014,Singapore Management University,School of Social Sciences (4-year programme) *,Social Sciences (4-year programme) Cum Laude and above,168
2014,Singapore Management University,School of Law (4-year programme) *,Law (4-year programme) #,169
2014,Singapore Management University,School of Law (4-year programme) *,Law (4-year programme) Cum Laude and above #,170
2014,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Arts in Game Design,171
2014,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Fine Arts in Digital Arts & Animation,172
2014,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Science in Computer Science & Game Design,173
2014,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Science in Computer Science in Real-Time Interactive Simulation,174
2014,Singapore Institute of Technology,The Glasgow School of Art,Bachelor of Arts with Honours in Communication Design,175
2014,Singapore Institute of Technology,The Glasgow School of Art,Bachelor of Arts with Honours in Interior Design,176
2014,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Chemical Engineering,177
2014,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Marine Engineering,178
2014,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Mechanical Design & Manufacturing Engineering,179
2014,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Naval Architecture,180
2014,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Offshore Engineering,181
2014,Singapore Institute of Technology,Newcastle University,Bachelor of Science with Honours in Food & Human Nutrition,182
2014,Singapore Institute of Technology,Technische Universität München,Bachelor of Science in Chemical Engineering,183
2014,Singapore Institute of Technology,Technische Universität München,Bachelor of Science in Electrical Engineering & Information Technology,184
2014,Singapore Institute of Technology,The Culinary Institute of America,Bachelor of Professional Studies in Culinary Arts Management,185
2014,Singapore Institute of Technology,Trinity College Dublin,Bachelor in Science (Occupational Therapy),186
2014,Singapore Institute of Technology,Trinity College Dublin,Bachelor in Science (Physiotherapy),187
2014,Singapore Institute of Technology,University of Glasgow,Bachelor of Engineering with Honours in Aeronautical Engineering,188
2014,Singapore Institute of Technology,University of Glasgow,Bachelor of Engineering with Honours in Aerospace Systems,189
2014,Singapore Institute of Technology,University of Glasgow,Bachelor of Engineering with Honours in Mechanical Design Engineering,190
2014,Singapore Institute of Technology,University of Glasgow,Bachelor of Engineering with Honours in Mechatronics,191
2014,Singapore Institute of Technology,University of Manchester,Bachelor of Science with Honours in Nursing Practice,192
2014,Singapore Institute of Technology,"University of Nevada, Las Vegas",Bachelor of Science (Major in Hospitality Management),193
2014,Singapore Institute of Technology,Wheelock College,Bachelor of Science in Early Childhood Education,194
2015,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy and Business,195
2015,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy (3-yr direct Honours Programme),196
2015,Nanyang Technological University,College of Business (Nanyang Business School),Business (3-yr direct Honours Programme),197
2015,Nanyang Technological University,College of Business (Nanyang Business School),Business and Computing,198
2015,Nanyang Technological University,College of Engineering,Aerospace Engineering,199
2015,Nanyang Technological University,College of Engineering,Aerospace Engineering and Economics **,200
2015,Nanyang Technological University,College of Engineering,Bioengineering,201
2015,Nanyang Technological University,College of Engineering,Business and Computer Engineering **,202
2015,Nanyang Technological University,College of Engineering,Chemical And Biomolecular Engineering,203
2015,Nanyang Technological University,College of Engineering,Chemical And Biomolecular Engineering and Economics **,204
2015,Nanyang Technological University,College of Engineering,Computer Engineering,205
2015,Nanyang Technological University,College of Engineering,Civil Engineering,206
2015,Nanyang Technological University,College of Engineering,Computer Science,207
2015,Nanyang Technological University,College of Engineering,Electrical And Electronic Engineering,208
2015,Nanyang Technological University,College of Engineering,Environmental Engineering,209
2015,Nanyang Technological University,College of Engineering,Environmental Engineering and Economics **,210
2015,Nanyang Technological University,College of Engineering,Information Engineering And Media,211
2015,Nanyang Technological University,College of Engineering,Information Engineering And Media and Economics **,212
2015,Nanyang Technological University,College of Engineering,Materials Engineering,213
2015,Nanyang Technological University,College of Engineering,Mechanical Engineering,214
2015,Nanyang Technological University,College of Engineering,Mechanical Engineering and Economics **,215
2015,Nanyang Technological University,College of Engineering,Maritime Studies,216
2015,Nanyang Technological University,"College of Humanities, Arts & Social Sciences","Art, Design & Media",217
2015,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Chinese,218
2015,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Communication Studies,219
2015,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Economics,220
2015,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",English,221
2015,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Linguistics And Multilingual Studies,222
2015,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Psychology,223
2015,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Sociology,224
2015,Nanyang Technological University,College of Sciences,Biomedical Science (Traditional Chinese Medicine) #,225
2015,Nanyang Technological University,College of Sciences,Biological Sciences,226
2015,Nanyang Technological University,College of Sciences,Chemistry & Biological Chemistry,227
2015,Nanyang Technological University,College of Sciences,Mathematics & Economics,228
2015,Nanyang Technological University,College of Sciences,Mathematical Science,229
2015,Nanyang Technological University,College of Sciences,Physics / Applied Physics,230
2015,Nanyang Technological University,College of Sciences,Sports Science and Management,231
2015,Nanyang Technological University,National Institute of Education (NIE),Science (with Education),232
2015,Nanyang Technological University,National Institute of Education (NIE),Arts (with Education),233
2015,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts,234
2015,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts (Hons),235
2015,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Social Sciences,236
2015,National University of Singapore,NUS Business School,Bachelor of Business Administration,237
2015,National University of Singapore,NUS Business School,Bachelor of Business Administration (Hons),238
2015,National University of Singapore,NUS Business School,Bachelor of Business Administration (Accountancy),239
2015,National University of Singapore,NUS Business School,Bachelor of Business Administration (Accountancy) (Hons),240
2015,National University of Singapore,School of Computing,Bachelor of Computing (Communications and Media),241
2015,National University of Singapore,School of Computing,Bachelor of Computing (Computational Biology) **,242
2015,National University of Singapore,School of Computing,Bachelor of Computing (Computer Engineering) **,243
2015,National University of Singapore,School of Computing,Bachelor of Computing (Computer Science),244
2015,National University of Singapore,School of Computing,Bachelor of Computing (Electronic Commerce),245
2015,National University of Singapore,School of Computing,Bachelor of Computing (Information Systems),246
2015,National University of Singapore,Faculty of Dentistry,Bachelor of Dental Surgery,247
2015,National University of Singapore,School of Design & Environment,Bachelor of Arts (Architecture) #,248
2015,National University of Singapore,School of Design & Environment,Bachelor of Arts (Industrial Design),249
2015,National University of Singapore,School of Design & Environment,Bachelor of Science (Project and Facilities Management),250
2015,National University of Singapore,School of Design & Environment,Bachelor of Science (Real Estate),251
2015,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Biomedical Engineering),252
2015,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Chemical Engineering),253
2015,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Civil Engineering),254
2015,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Computer Engineering),255
2015,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Electrical Engineering),256
2015,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Engineering Science),257
2015,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Environmental Engineering),258
2015,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Industrial and Systems Engineering),259
2015,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Materials Science and Engineering),260
2015,National University of Singapore,Faculty of Engineering,Bachelor of Engineering (Mechanical Engineering),261
2015,National University of Singapore,Faculty of Law,Bachelor of Laws (L.L.B) (Hons) #,262
2015,National University of Singapore,YLL School of Medicine,Bachelor of Medicine and Bachelor of Surgery #,263
2015,National University of Singapore,YLL School of Medicine,Bachelor of Science (Nursing),264
2015,National University of Singapore,YLL School of Medicine,Bachelor of Science (Nursing) (Hons),265
2015,National University of Singapore,Yong Siew Toh Conservatory of Music,Bachelor of Music,266
2015,National University of Singapore,Faculty of Science,Bachelor of Applied Science **,267
2015,National University of Singapore,Faculty of Science,Bachelor of Applied Science (Hons),268
2015,National University of Singapore,Faculty of Science,Bachelor of Science,269
2015,National University of Singapore,Faculty of Science,Bachelor of Science (Hons),270
2015,National University of Singapore,Faculty of Science,Bachelor of Science (Computational Biology) **,271
2015,National University of Singapore,Faculty of Science,Bachelor of Science (Pharmacy) (Hons) #,272
2015,National University of Singapore,Multi-Disciplinary Programme,Bachelor of Environmental Studies,273
2015,Singapore Management University,School of Accountancy (4-year programme) *,Accountancy,274
2015,Singapore Management University,School of Accountancy (4-year programme) *,Accountancy Cum Laude and above,275
2015,Singapore Management University,School of Business (4-year programme) *,Business Management,276
2015,Singapore Management University,School of Business (4-year programme) *,Business Management Cum Laude and above,277
2015,Singapore Management University,School of Economics (4-year programme) *,Economics,278
2015,Singapore Management University,School of Economics (4-year programme) *,Economics Cum Laude and above,279
2015,Singapore Management University,School of Information Systems (4-year programme) *,Information Systems Management,280
2015,Singapore Management University,School of Information Systems (4-year programme) *,Information Systems Management Cum Laude and above,281
2015,Singapore Management University,School of Social Sciences (4-year programme) *,Social Sciences,282
2015,Singapore Management University,School of Social Sciences (4-year programme) *,Social Sciences Cum Laude and above,283
2015,Singapore Management University,School of Law (4-year programme) *,Law #,284
2015,Singapore Management University,School of Law (4-year programme) *,Law Cum Laude and above #,285
2015,Singapore University of Technology and Design,na,Bachelor of Engineering (Engineering Product Development),286
2015,Singapore University of Technology and Design,na,Bachelor of Engineering (Engineering Systems and Design),287
2015,Singapore University of Technology and Design,na,Bachelor of Engineering (Information Systems Technology and Design),288
2015,Singapore University of Technology and Design,na,Bachelor of Science (Architecture and Sustainable Design) ###,289
2015,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Arts in Game Design **,290
2015,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Fine Arts in Digital Arts & Animation,291
2015,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Science in Computer Science & Game Design **,292
2015,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Science in Computer Science in Real-Time Interactive Simulation,293
2015,Singapore Institute of Technology,The Glasgow School of Art,Bachelor of Arts with Honours in Communication Design,294
2015,Singapore Institute of Technology,The Glasgow School of Art,Bachelor of Arts with Honours in Interior Design,295
2015,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Chemical Engineering,296
2015,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Electrical Power Engineering,297
2015,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Marine Engineering,298
2015,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Mechanical Design & Manufacturing Engineering,299
2015,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Naval Architecture,300
2015,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Offshore Engineering,301
2015,Singapore Institute of Technology,Newcastle University,Bachelor of Science with Honours in Food & Human Nutrition,302
2015,Singapore Institute of Technology,Technische Universität München,Bachelor of Science in Chemical Engineering,303
2015,Singapore Institute of Technology,Technische Universität München,Bachelor of Science in Electrical Engineering & Information Technology,304
2015,Singapore Institute of Technology,The Culinary Institute of America,Bachelor of Professional Studies in Culinary Arts Management,305
2015,Singapore Institute of Technology,Singapore Institute of Technology -Trinity College Dublin,Bachelor in Science (Diagnostic Radiography),306
2015,Singapore Institute of Technology,Trinity College Dublin,Bachelor in Science (Occupational Therapy),307
2015,Singapore Institute of Technology,Trinity College Dublin,Bachelor in Science (Physiotherapy),308
2015,Singapore Institute of Technology,Trinity College Dublin,Bachelor in Science (Radiation Therapy) **,309
2015,Singapore Institute of Technology,University of Glasgow,Bachelor of Engineering with Honours in Aeronautical Engineering,310
2015,Singapore Institute of Technology,University of Glasgow,Bachelor of Engineering with Honours in Aerospace Systems,311
2015,Singapore Institute of Technology,University of Glasgow,Bachelor of Engineering with Honours in Mechanical Design Engineering,312
2015,Singapore Institute of Technology,University of Glasgow,Bachelor of Engineering with Honours in Mechatronics,313
2015,Singapore Institute of Technology,University of Glasgow,Bachelor of Science with Honours in Computing Science,314
2015,Singapore Institute of Technology,University of Manchester,Bachelor of Science with Honours in Nursing Practice,315
2015,Singapore Institute of Technology,"University of Nevada, Las Vegas",Bachelor of Science (Major in Hospitality Management),316
2015,Singapore Institute of Technology,Wheelock College,Bachelor of Science in Early Childhood Education,317
2016,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy,318
2016,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy and Business,319
2016,Nanyang Technological University,College of Business (Nanyang Business School),Business,320
2016,Nanyang Technological University,College of Business (Nanyang Business School),Business and Computing,321
2016,Nanyang Technological University,College of Engineering,Aerospace Engineering,322
2016,Nanyang Technological University,College of Engineering,Aerospace Engineering and Economics **,323
2016,Nanyang Technological University,College of Engineering,Bioengineering,324
2016,Nanyang Technological University,College of Engineering,Business and Computer Engineering **,325
2016,Nanyang Technological University,College of Engineering,Chemical And Biomolecular Engineering,326
2016,Nanyang Technological University,College of Engineering,Civil Engineering,327
2016,Nanyang Technological University,College of Engineering,Computer Engineering,328
2016,Nanyang Technological University,College of Engineering,Computer Science,329
2016,Nanyang Technological University,College of Engineering,Electrical And Electronic Engineering,330
2016,Nanyang Technological University,College of Engineering,Environmental Engineering,331
2016,Nanyang Technological University,College of Engineering,Information Engineering And Media,332
2016,Nanyang Technological University,College of Engineering,Maritime Studies,333
2016,Nanyang Technological University,College of Engineering,Materials Engineering,334
2016,Nanyang Technological University,College of Engineering,Materials Engineering and Economics **,335
2016,Nanyang Technological University,College of Engineering,Mechanical Engineering,336
2016,Nanyang Technological University,College of Engineering,Mechanical Engineering and Economics **,337
2016,Nanyang Technological University,"College of Humanities, Arts & Social Sciences","Art, Design & Media",338
2016,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Chinese,339
2016,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Communication Studies,340
2016,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Economics,341
2016,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",English,342
2016,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",History,343
2016,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Linguistics And Multilingual Studies,344
2016,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Psychology,345
2016,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Public Policy And Global Affairs **,346
2016,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Sociology,347
2016,Nanyang Technological University,College of Sciences,Biomedical Sciences & Chinese Medicine #,348
2016,Nanyang Technological University,College of Sciences,Biological Sciences,349
2016,Nanyang Technological University,College of Sciences,Chemistry & Biological Chemistry,350
2016,Nanyang Technological University,College of Sciences,Mathematical Sciences,351
2016,Nanyang Technological University,College of Sciences,Mathematics & Economics,352
